,satisfaction,review,projects,avg_hrs_month,tenure,promoted,department,salary
64,0.11,0.94,6,286.0,4.0,0,IT,medium
65,0.81,0.7,6,161.0,4.0,0,IT,medium
66,0.43,0.54,2,153.0,3.0,0,product_mng,medium
67,0.9,0.98,4,264.0,6.0,0,product_mng,medium
68,0.76,0.86,5,223.0,5.0,0,product_mng,medium
69,0.43,0.5,2,135.0,3.0,0,product_mng,medium
70,0.74,0.99,2,277.0,3.0,0,IT,medium
71,0.09,0.77,5,275.0,4.0,0,product_mng,medium
72,0.45,0.49,2,149.0,3.0,0,product_mng,high
73,0.09,0.87,7,295.0,4.0,0,product_mng,low
74,0.11,0.97,6,277.0,4.0,0,product_mng,medium
75,0.11,0.79,7,306.0,4.0,0,product_mng,medium
76,0.1,0.83,6,295.0,4.0,0,product_mng,medium
77,0.4,0.54,2,137.0,3.0,0,marketing,medium
78,0.43,0.56,2,157.0,3.0,0,sales,low
79,0.39,0.56,2,142.0,3.0,0,accounting,low
80,0.45,0.54,2,140.0,3.0,0,support,low
81,0.38,0.49,2,151.0,3.0,0,technical,low
82,0.79,0.59,4,139.0,3.0,1,management,low
83,0.84,0.85,4,249.0,6.0,0,marketing,low
84,0.11,0.77,6,291.0,4.0,0,marketing,low
85,0.11,0.87,6,305.0,4.0,0,marketing,low
86,0.17,0.84,5,232.0,3.0,0,sales,low
87,0.44,0.45,2,132.0,3.0,0,sales,low
88,0.37,0.57,2,130.0,3.0,0,sales,low
89,0.1,0.79,6,291.0,4.0,0,sales,low
90,0.4,0.5,2,130.0,3.0,0,sales,low
91,0.89,1.0,5,246.0,5.0,0,sales,low
92,0.42,0.48,2,143.0,3.0,0,sales,low
93,0.46,0.55,2,129.0,3.0,0,sales,low
94,0.09,0.83,6,255.0,4.0,0,sales,low
95,0.37,0.51,2,155.0,3.0,0,sales,low
96,0.1,0.77,6,265.0,4.0,0,sales,low
97,0.1,0.84,6,279.0,4.0,0,sales,low
98,0.11,0.97,6,284.0,4.0,0,sales,low
99,0.9,1.0,5,221.0,6.0,0,sales,medium
100,0.38,0.52,2,154.0,3.0,0,sales,medium
101,0.36,0.52,2,147.0,3.0,0,sales,medium
102,0.42,0.46,2,150.0,3.0,0,sales,medium
103,0.09,0.94,7,267.0,4.0,0,sales,medium
104,0.43,0.52,2,158.0,3.0,0,sales,medium
105,0.24,0.46,7,224.0,5.0,0,accounting,medium
106,0.91,1.0,4,257.0,5.0,0,accounting,medium
107,0.44,0.5,2,148.0,3.0,0,accounting,medium
108,0.71,0.87,3,177.0,4.0,0,hr,medium
109,0.4,0.49,2,155.0,3.0,0,hr,medium
110,0.43,0.47,2,144.0,3.0,0,hr,medium
111,0.09,0.85,6,289.0,4.0,0,hr,high
112,0.43,0.52,2,160.0,3.0,0,technical,low
113,0.9,0.96,4,258.0,5.0,0,technical,medium
114,0.84,1.0,5,234.0,5.0,0,technical,medium
115,0.37,0.48,2,137.0,3.0,0,technical,medium
116,0.86,0.68,5,263.0,2.0,0,technical,medium
117,0.11,0.84,6,251.0,4.0,0,technical,low
118,0.37,0.57,2,133.0,3.0,0,technical,low
119,0.4,0.46,2,132.0,3.0,0,technical,low
120,0.14,0.62,4,158.0,4.0,0,technical,low
121,0.4,0.46,2,135.0,3.0,0,technical,low
122,0.75,1.0,4,216.0,6.0,0,technical,low
123,0.11,0.84,6,300.0,5.0,0,support,low
124,0.46,0.49,2,138.0,3.0,0,support,low
125,0.11,0.92,6,260.0,4.0,0,support,low
126,0.38,0.49,2,132.0,3.0,0,support,low
127,0.7,0.89,3,183.0,5.0,0,support,low
128,0.09,0.82,6,250.0,4.0,0,support,low
129,0.37,0.45,2,151.0,3.0,0,support,low
130,0.1,0.83,6,292.0,4.0,0,support,low
131,0.38,0.57,2,140.0,3.0,0,support,low
132,0.9,1.0,5,221.0,5.0,0,support,low
133,0.44,0.51,2,138.0,3.0,0,support,low
134,0.36,0.5,2,132.0,3.0,0,technical,low
135,0.31,0.84,7,133.0,5.0,0,technical,low
136,0.1,0.84,6,283.0,4.0,0,technical,low
137,0.42,0.48,2,129.0,3.0,0,management,low
138,0.74,1.0,4,249.0,5.0,0,IT,low
139,0.73,0.87,5,257.0,5.0,0,IT,low
140,0.09,0.96,6,245.0,4.0,0,IT,low
141,0.45,0.53,2,155.0,3.0,0,IT,low
142,0.11,0.8,6,256.0,4.0,0,IT,low
143,0.37,0.47,2,152.0,3.0,0,product_mng,low
144,0.84,0.99,4,267.0,5.0,0,product_mng,low
145,0.41,0.46,2,151.0,3.0,0,product_mng,low
146,0.76,0.92,4,239.0,5.0,0,product_mng,low
147,0.11,0.87,6,306.0,4.0,0,IT,low
148,0.84,0.88,4,263.0,5.0,0,marketing,low
149,0.39,0.5,2,147.0,3.0,0,marketing,low
150,0.11,0.91,6,278.0,4.0,0,marketing,low
151,0.45,0.56,2,154.0,3.0,0,marketing,low
152,0.37,0.52,2,143.0,3.0,0,marketing,low
153,0.4,0.52,2,155.0,3.0,0,marketing,low
154,0.39,0.48,2,160.0,3.0,0,sales,low
155,0.11,0.8,6,304.0,4.0,0,accounting,low
156,0.83,1.0,5,240.0,5.0,0,support,low
157,0.11,0.92,6,305.0,4.0,0,technical,low
158,0.39,0.5,2,136.0,3.0,0,management,low
159,0.45,0.45,2,132.0,3.0,0,marketing,low
160,0.1,0.95,7,301.0,4.0,0,marketing,low
161,0.9,0.98,5,243.0,6.0,0,marketing,low
162,0.45,0.51,2,147.0,3.0,0,sales,low
163,0.79,0.89,5,239.0,5.0,0,sales,low
164,0.9,0.99,5,260.0,5.0,0,sales,low
165,0.11,0.84,7,296.0,4.0,0,sales,low
166,0.43,0.55,2,129.0,3.0,0,sales,low
167,0.31,0.54,5,132.0,5.0,0,sales,low
168,0.32,0.5,2,135.0,5.0,0,sales,low
169,0.45,0.57,2,158.0,3.0,0,sales,low
170,0.81,0.99,4,259.0,5.0,0,sales,low
171,0.41,0.46,2,160.0,3.0,1,sales,low
172,0.11,0.78,7,278.0,4.0,0,sales,low
173,0.1,0.88,6,284.0,4.0,0,sales,low
174,0.7,0.53,2,274.0,4.0,0,sales,low
175,0.54,0.74,4,164.0,2.0,0,sales,low
176,0.41,0.48,2,148.0,3.0,0,sales,low
177,0.38,0.5,2,140.0,3.0,0,sales,medium
178,0.37,0.51,2,127.0,3.0,0,sales,medium
179,0.11,0.85,6,308.0,5.0,0,sales,medium
180,0.4,0.47,2,146.0,3.0,0,sales,medium
181,0.1,0.84,6,261.0,4.0,0,accounting,medium
182,0.89,0.99,5,257.0,5.0,0,accounting,medium
183,0.11,0.8,6,285.0,4.0,0,accounting,medium
184,0.36,0.55,2,141.0,3.0,0,hr,medium
185,0.4,0.46,2,127.0,3.0,0,hr,medium
186,0.09,0.85,6,297.0,4.0,0,hr,medium
187,0.4,0.46,2,143.0,3.0,0,hr,medium
188,0.37,0.55,2,152.0,3.0,0,technical,medium
189,0.44,0.51,2,156.0,3.0,0,technical,high
190,0.09,0.8,7,283.0,5.0,0,technical,low
191,0.92,0.87,4,226.0,6.0,0,technical,medium
192,0.74,0.91,4,232.0,5.0,0,technical,medium
193,0.09,0.82,6,249.0,4.0,0,technical,medium
194,0.89,0.95,4,275.0,5.0,0,technical,medium
195,0.09,0.8,6,304.0,4.0,0,technical,low
196,0.27,0.54,7,278.0,3.0,0,technical,low
197,0.1,0.91,6,287.0,4.0,0,technical,low
198,0.1,0.89,7,285.0,4.0,0,technical,low
199,0.77,0.94,5,226.0,6.0,0,support,low
200,0.9,0.82,5,259.0,5.0,0,support,low
201,0.39,0.5,2,135.0,3.0,0,support,low
202,0.76,1.0,5,219.0,5.0,0,support,low
203,0.1,0.93,6,256.0,4.0,0,support,low
204,0.87,0.9,5,254.0,6.0,0,support,low
205,0.38,0.5,2,153.0,3.0,0,support,low
206,0.77,0.99,5,228.0,5.0,0,support,low
207,0.78,0.87,4,228.0,5.0,0,support,low
208,0.44,0.5,2,128.0,3.0,0,support,low
209,0.38,0.52,2,153.0,3.0,0,support,low
210,0.43,0.46,2,156.0,3.0,0,technical,low
211,0.39,0.5,4,294.0,3.0,0,technical,low
212,0.88,1.0,5,219.0,5.0,0,technical,low
213,0.45,0.46,2,153.0,3.0,0,management,low
214,0.4,0.53,2,151.0,3.0,0,IT,low
215,0.36,0.51,2,155.0,3.0,0,IT,low
216,0.36,0.48,2,158.0,3.0,0,IT,low
217,0.9,0.98,5,245.0,5.0,0,IT,low
218,0.43,0.53,2,131.0,3.0,0,IT,low
219,0.89,0.87,5,225.0,5.0,0,product_mng,low
220,0.1,0.84,6,286.0,4.0,0,product_mng,low
221,0.37,0.5,2,135.0,3.0,0,product_mng,low
222,0.37,0.51,2,153.0,3.0,0,product_mng,low
223,0.87,0.9,5,252.0,5.0,0,IT,low
224,0.4,0.56,2,149.0,3.0,0,accounting,low
225,0.9,0.97,4,258.0,5.0,0,accounting,low
226,0.37,0.46,2,158.0,3.0,0,hr,low
227,0.44,0.54,2,149.0,3.0,0,hr,low
228,0.85,0.95,5,236.0,5.0,0,hr,low
229,0.78,0.98,5,239.0,6.0,0,marketing,low
230,0.42,0.47,2,159.0,3.0,0,marketing,low
231,0.92,0.99,5,255.0,6.0,0,sales,low
232,0.11,0.83,6,244.0,4.0,0,accounting,low
233,0.42,0.56,2,134.0,3.0,0,support,low
234,0.48,0.57,4,270.0,4.0,0,technical,low
235,0.83,0.85,4,255.0,5.0,0,management,low
236,0.4,0.53,2,151.0,3.0,0,marketing,low
237,0.43,0.45,2,135.0,3.0,0,marketing,low
238,0.43,0.53,2,146.0,3.0,0,marketing,low
239,0.1,0.97,7,254.0,4.0,0,sales,low
240,0.1,0.87,7,289.0,4.0,0,sales,low
241,0.37,0.46,2,156.0,3.0,0,sales,low
242,0.38,0.53,2,156.0,3.0,0,sales,low
243,0.4,0.5,2,128.0,3.0,0,sales,low
244,0.89,0.86,5,275.0,5.0,0,sales,low
245,0.45,0.46,2,155.0,3.0,0,sales,low
246,0.37,0.48,2,159.0,3.0,0,sales,low
247,0.46,0.49,2,148.0,3.0,0,sales,low
248,0.87,0.91,4,228.0,5.0,0,sales,low
249,0.11,0.84,6,298.0,4.0,0,sales,low
250,0.79,0.87,5,261.0,5.0,0,sales,low
251,0.79,0.92,5,254.0,6.0,0,sales,low
252,0.19,0.59,7,192.0,3.0,0,sales,low
253,0.87,0.98,4,248.0,5.0,0,sales,low
254,0.6,0.92,2,258.0,5.0,0,sales,low
255,0.44,0.45,2,156.0,3.0,0,sales,medium
256,0.11,0.81,6,266.0,4.0,0,sales,medium
257,0.42,0.54,2,156.0,3.0,0,sales,medium
258,0.88,0.88,5,232.0,5.0,0,accounting,medium
259,0.11,0.84,6,287.0,4.0,0,accounting,medium
260,0.46,0.46,2,154.0,3.0,0,accounting,medium
261,0.82,0.97,5,263.0,5.0,0,hr,medium
262,0.44,0.56,2,131.0,3.0,0,hr,medium
263,0.11,0.78,6,260.0,4.0,0,hr,medium
264,0.42,0.5,2,139.0,3.0,0,hr,medium
265,0.84,0.93,4,251.0,5.0,0,technical,medium
266,0.11,0.95,6,286.0,4.0,0,technical,medium
267,0.45,0.53,2,129.0,3.0,0,technical,high
268,0.38,0.56,2,156.0,3.0,0,technical,low
269,0.38,0.86,6,139.0,6.0,0,technical,medium
270,0.44,0.51,2,127.0,3.0,0,technical,medium
271,0.11,0.84,6,251.0,4.0,0,technical,medium
272,0.81,0.93,5,270.0,5.0,0,technical,medium
273,0.09,0.96,6,296.0,4.0,0,technical,low
274,0.11,0.9,6,254.0,4.0,0,technical,low
275,0.81,0.95,5,238.0,6.0,0,technical,low
276,0.1,0.97,6,267.0,4.0,0,support,low
277,0.74,0.89,5,229.0,6.0,0,support,low
278,0.09,0.78,6,254.0,4.0,0,support,low
279,0.82,0.81,4,233.0,4.0,0,support,low
280,0.1,0.98,6,268.0,4.0,0,support,low
281,0.27,0.56,3,301.0,3.0,0,support,low
282,0.83,0.92,5,267.0,6.0,0,support,low
283,0.1,0.93,6,289.0,4.0,0,support,low
284,0.38,0.47,2,144.0,3.0,0,support,low
285,0.4,0.56,2,148.0,3.0,0,support,low
286,0.11,0.83,6,306.0,4.0,0,support,low
287,0.11,0.79,6,292.0,4.0,1,technical,low
288,0.82,0.91,5,232.0,5.0,0,technical,low
289,0.36,0.48,2,137.0,3.0,0,technical,low
290,0.4,0.46,2,128.0,3.0,0,management,low
291,0.87,0.84,5,231.0,5.0,0,IT,low
292,0.41,0.49,2,146.0,3.0,0,IT,low
293,0.11,0.91,6,308.0,4.0,0,IT,low
294,0.1,0.93,6,253.0,4.0,0,IT,medium
295,0.38,0.51,2,146.0,3.0,0,IT,medium
296,0.39,0.55,2,156.0,3.0,0,product_mng,medium
297,0.4,0.52,2,147.0,3.0,0,product_mng,medium
298,0.45,0.48,2,136.0,3.0,0,product_mng,medium
299,0.74,0.84,5,249.0,5.0,0,product_mng,medium
300,0.45,0.55,2,151.0,3.0,0,IT,medium
301,0.12,1.0,3,278.0,4.0,0,RandD,medium
302,0.1,0.77,7,250.0,5.0,0,RandD,medium
303,0.37,0.55,2,127.0,3.0,0,RandD,medium
304,0.89,0.87,5,255.0,5.0,0,RandD,medium
305,0.45,0.47,2,135.0,3.0,0,RandD,medium
306,0.37,0.46,2,149.0,3.0,0,marketing,high
307,0.11,0.81,5,287.0,4.0,0,sales,low
308,0.41,0.48,2,145.0,3.0,0,accounting,medium
309,0.1,0.94,6,285.0,4.0,0,support,medium
310,0.1,0.93,7,305.0,4.0,0,technical,medium
311,0.11,0.95,7,300.0,4.0,0,management,medium
312,0.4,0.54,2,139.0,3.0,0,marketing,low
313,0.41,0.49,2,130.0,3.0,0,marketing,low
314,0.1,0.81,6,268.0,4.0,0,marketing,low
315,0.73,0.86,4,245.0,6.0,0,sales,low
316,0.43,0.47,2,135.0,3.0,0,sales,low
317,0.37,0.46,2,153.0,3.0,0,sales,low
318,0.11,0.94,6,276.0,4.0,0,sales,low
319,0.4,0.46,2,130.0,3.0,0,sales,low
320,0.41,0.54,2,153.0,3.0,0,sales,low
321,0.82,0.84,5,244.0,5.0,0,sales,low
322,0.61,0.47,2,253.0,3.0,0,sales,low
323,0.11,0.91,7,287.0,4.0,0,sales,low
324,0.37,0.45,2,131.0,3.0,0,sales,low
325,0.41,0.52,2,135.0,3.0,0,sales,low
326,0.37,0.52,2,157.0,3.0,0,sales,low
327,0.88,0.99,5,262.0,6.0,0,sales,low
328,0.1,0.85,6,266.0,4.0,0,sales,low
329,0.44,0.48,2,148.0,3.0,0,sales,low
330,0.38,0.57,2,140.0,3.0,0,sales,low
331,0.11,0.85,7,302.0,4.0,0,sales,low
332,0.09,0.98,6,271.0,4.0,0,sales,low
333,0.45,0.52,2,145.0,3.0,0,sales,medium
334,0.1,0.81,6,290.0,4.0,0,accounting,medium
335,0.45,0.47,2,151.0,3.0,0,accounting,medium
336,0.77,0.87,5,266.0,5.0,0,accounting,medium
337,0.44,0.51,2,140.0,3.0,0,hr,medium
338,0.39,0.5,2,142.0,3.0,0,hr,medium
339,0.1,0.91,6,246.0,4.0,0,hr,medium
340,0.09,0.89,7,308.0,5.0,0,hr,medium
341,0.37,0.47,2,141.0,3.0,0,technical,medium
342,0.9,1.0,5,232.0,5.0,0,technical,medium
343,0.41,0.56,2,143.0,3.0,0,technical,medium
344,0.37,0.52,2,155.0,3.0,0,technical,medium
345,0.1,0.86,6,278.0,4.0,0,technical,high
346,0.81,1.0,4,253.0,5.0,0,technical,low
347,0.11,0.8,6,282.0,4.0,0,technical,medium
348,0.11,0.84,7,264.0,4.0,0,technical,medium
349,0.4,0.46,2,149.0,3.0,0,technical,medium
350,0.09,0.8,6,304.0,5.0,0,technical,medium
351,0.48,0.93,3,219.0,6.0,0,technical,low
352,0.91,0.91,4,262.0,6.0,0,support,low
353,0.43,0.57,2,135.0,3.0,0,support,low
354,0.33,0.88,6,219.0,5.0,0,support,low
355,0.41,0.57,2,136.0,3.0,0,support,low
356,0.41,0.55,2,154.0,3.0,0,support,low
357,0.37,0.54,2,149.0,3.0,0,support,low
358,0.31,0.62,6,135.0,5.0,0,support,low
359,0.09,0.91,6,275.0,4.0,0,support,low
360,0.1,0.87,6,290.0,4.0,0,support,low
361,0.76,0.9,4,263.0,5.0,0,support,low
362,0.41,0.54,2,145.0,3.0,0,support,low
363,0.72,0.96,5,267.0,5.0,0,technical,low
364,0.4,0.5,2,141.0,3.0,0,technical,low
365,0.91,0.87,4,235.0,5.0,0,technical,low
366,0.1,0.83,6,258.0,4.0,0,management,low
367,0.4,0.56,2,131.0,3.0,0,IT,low
368,0.82,0.86,5,243.0,5.0,0,IT,low
369,0.1,0.82,6,266.0,4.0,0,IT,low
370,0.37,0.45,2,142.0,3.0,0,IT,low
371,0.36,0.51,2,135.0,3.0,0,IT,low
372,0.39,0.48,2,141.0,3.0,0,product_mng,medium
373,0.36,0.57,2,142.0,3.0,0,product_mng,medium
374,0.86,0.84,5,254.0,5.0,0,product_mng,medium
375,0.73,0.99,5,262.0,5.0,0,product_mng,medium
376,0.56,0.71,4,296.0,2.0,0,IT,medium
377,0.44,0.56,2,158.0,3.0,0,accounting,medium
378,0.31,0.56,4,238.0,2.0,0,accounting,medium
379,0.77,0.93,4,231.0,5.0,0,hr,medium
380,0.44,0.45,2,156.0,3.0,0,hr,medium
381,0.38,0.46,2,145.0,3.0,0,hr,medium
382,0.45,0.48,2,144.0,3.0,0,marketing,medium
383,0.38,0.51,2,159.0,3.0,0,sales,medium
384,0.36,0.48,2,156.0,3.0,0,accounting,high
385,0.75,0.9,5,256.0,5.0,0,support,low
386,0.1,0.93,6,298.0,4.0,0,technical,medium
387,0.1,0.97,6,247.0,4.0,0,management,medium
388,0.45,0.5,2,157.0,3.0,0,marketing,medium
389,0.42,0.57,2,154.0,3.0,0,marketing,medium
390,0.78,1.0,4,253.0,5.0,0,marketing,low
391,0.45,0.55,2,148.0,3.0,0,sales,low
392,0.84,1.0,4,261.0,5.0,0,sales,low
393,0.11,0.93,6,282.0,4.0,0,sales,low
394,0.42,0.56,2,133.0,3.0,0,sales,low
395,0.45,0.46,2,128.0,3.0,0,sales,low
397,0.09,0.79,6,293.0,5.0,0,sales,low
398,0.87,0.83,4,265.0,6.0,0,sales,low
399,0.1,0.87,6,250.0,4.0,0,sales,low
400,0.91,1.0,5,251.0,6.0,0,sales,low
401,0.76,0.92,4,246.0,5.0,0,sales,low
402,0.74,1.0,5,275.0,5.0,0,sales,low
403,0.92,0.93,5,240.0,5.0,0,sales,low
404,0.76,0.87,5,245.0,5.0,0,sales,low
405,0.47,0.5,4,254.0,4.0,0,sales,low
406,0.73,0.99,5,241.0,5.0,0,sales,low
407,0.09,0.94,6,257.0,4.0,0,sales,low
408,0.91,0.92,4,246.0,5.0,0,sales,low
409,0.82,0.98,4,233.0,5.0,0,sales,low
410,0.28,0.45,6,218.0,4.0,0,accounting,low
411,0.84,0.99,4,262.0,6.0,0,accounting,medium
412,0.45,0.53,2,138.0,3.0,0,accounting,medium
413,0.45,0.54,2,142.0,3.0,0,hr,medium
414,0.91,0.97,5,233.0,5.0,0,hr,medium
415,0.42,0.48,2,155.0,3.0,0,hr,medium
416,0.82,1.0,4,229.0,6.0,0,hr,medium
417,0.11,0.9,6,264.0,4.0,0,technical,medium
418,0.42,0.53,3,199.0,4.0,0,technical,medium
419,0.82,0.85,4,223.0,5.0,0,technical,medium
420,0.09,0.96,6,268.0,4.0,0,technical,medium
421,0.1,0.94,6,287.0,4.0,0,technical,medium
422,0.86,1.0,5,257.0,5.0,0,technical,medium
423,0.4,0.46,2,143.0,3.0,0,technical,high
424,0.45,0.46,2,130.0,3.0,0,technical,low
425,0.42,0.51,2,136.0,3.0,0,technical,medium
426,0.74,0.92,4,261.0,5.0,0,technical,medium
427,0.55,0.6,3,180.0,4.0,0,technical,medium
428,0.37,0.45,2,126.0,3.0,0,support,medium
429,0.41,0.52,2,127.0,3.0,0,support,low
430,0.89,0.65,5,195.0,6.0,0,support,low
431,0.41,0.57,2,160.0,3.0,0,support,low
432,0.44,0.51,2,150.0,3.0,0,support,low
433,0.87,0.84,4,264.0,6.0,0,support,low
434,0.1,0.84,6,309.0,4.0,0,support,low
435,0.41,0.47,2,135.0,3.0,0,support,low
436,0.11,0.85,6,261.0,4.0,0,support,low
437,0.43,0.53,2,160.0,3.0,0,support,low
438,0.77,0.9,4,237.0,5.0,0,support,low
439,0.41,0.52,2,136.0,3.0,0,technical,low
440,0.41,0.48,2,139.0,3.0,0,technical,low
441,0.36,0.78,2,151.0,4.0,0,technical,low
442,0.77,1.0,5,229.0,5.0,0,management,low
443,0.81,0.98,5,245.0,5.0,0,IT,low
444,0.39,0.54,2,127.0,3.0,0,IT,low
445,0.09,0.94,6,283.0,5.0,0,IT,low
446,0.44,0.46,2,143.0,3.0,0,IT,low
447,0.1,0.84,5,298.0,4.0,0,IT,low
448,0.36,0.48,2,159.0,3.0,0,product_mng,low
449,0.81,0.92,5,239.0,5.0,0,product_mng,low
450,0.81,0.9,4,226.0,5.0,0,product_mng,medium
451,0.85,0.98,5,248.0,5.0,0,product_mng,medium
452,0.1,0.87,6,286.0,4.0,0,IT,medium
453,0.37,0.54,2,145.0,3.0,0,RandD,medium
454,0.09,0.97,7,254.0,4.0,0,RandD,medium
455,0.44,0.53,2,127.0,3.0,0,RandD,medium
456,0.86,0.93,5,223.0,5.0,0,RandD,medium
457,0.77,1.0,4,255.0,5.0,0,RandD,medium
458,0.41,0.48,2,136.0,3.0,0,marketing,medium
459,0.4,0.48,2,137.0,3.0,0,sales,medium
460,0.43,0.49,2,135.0,3.0,0,accounting,medium
461,0.43,0.5,2,137.0,3.0,0,support,medium
462,0.8,0.53,3,255.0,5.0,0,technical,high
463,0.8,0.85,4,273.0,5.0,0,management,low
464,0.82,0.98,5,234.0,5.0,0,marketing,medium
465,0.37,0.54,2,152.0,3.0,0,marketing,medium
466,0.37,0.48,2,134.0,3.0,0,marketing,medium
467,0.09,0.95,6,292.0,4.0,0,sales,medium
468,0.9,0.92,5,245.0,5.0,0,sales,low
469,0.41,0.52,2,159.0,3.0,0,sales,low
470,0.1,0.85,6,260.0,4.0,0,sales,low
471,0.44,0.53,2,149.0,3.0,0,sales,low
472,0.89,0.85,5,266.0,5.0,0,sales,low
473,0.42,0.56,2,149.0,3.0,0,sales,low
474,0.87,1.0,5,242.0,5.0,0,sales,low
475,0.45,0.57,2,134.0,3.0,0,sales,low
476,0.11,0.87,5,271.0,4.0,0,sales,low
477,0.09,0.79,6,275.0,4.0,0,sales,low
478,0.76,0.83,5,227.0,5.0,0,sales,low
479,0.11,0.96,7,277.0,5.0,0,sales,low
480,0.37,0.49,2,151.0,3.0,0,sales,low
481,0.1,0.79,6,274.0,4.0,0,sales,low
482,0.77,0.87,4,242.0,6.0,0,sales,low
483,0.42,0.54,2,143.0,3.0,0,sales,low
484,0.38,0.52,2,145.0,3.0,0,sales,low
485,0.32,0.95,5,172.0,2.0,0,sales,low
486,0.38,0.49,2,135.0,3.0,0,accounting,low
487,0.19,1.0,4,192.0,4.0,0,accounting,low
488,0.1,0.83,7,276.0,4.0,0,accounting,low
489,0.76,0.88,4,206.0,4.0,0,hr,medium
490,0.53,0.56,4,281.0,6.0,0,hr,medium
491,0.39,0.51,2,151.0,3.0,0,hr,medium
492,0.11,0.83,6,244.0,4.0,0,hr,medium
493,0.1,0.94,6,309.0,4.0,0,technical,medium
494,0.84,1.0,5,218.0,5.0,0,technical,medium
495,0.82,0.99,4,263.0,6.0,0,technical,medium
496,0.1,0.82,6,244.0,4.0,0,technical,medium
497,0.59,0.49,7,263.0,4.0,0,technical,medium
498,0.44,0.48,2,143.0,3.0,0,technical,medium
499,0.89,0.95,2,181.0,5.0,0,technical,medium
500,0.91,0.84,5,265.0,5.0,0,technical,medium
501,0.66,0.57,5,161.0,5.0,0,technical,high
502,0.11,0.87,7,282.0,5.0,0,technical,low
503,0.43,0.51,2,155.0,3.0,0,technical,medium
504,0.78,0.83,4,217.0,6.0,0,support,medium
505,0.11,0.97,6,289.0,5.0,0,support,medium
506,0.83,0.98,4,259.0,5.0,0,support,medium
507,0.39,0.54,2,158.0,3.0,0,support,low
508,0.38,0.55,2,158.0,3.0,0,support,low
